"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_any_a_any","Nombre"
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","0 anys",36
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","0 anys",30
2020,7,"Horta-Guinardó",40,"Montbau","Dona","0 anys",26
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","0 anys",20
2020,7,"Horta-Guinardó",42,"la Clota","Dona","0 anys",6
2020,7,"Horta-Guinardó",43,"Horta","Dona","0 anys",97
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","0 anys",78
2020,8,"Nou Barris",45,"Porta","Dona","0 anys",103
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","0 anys",76
2020,8,"Nou Barris",47,"Can Peguera","Dona","0 anys",6
2020,8,"Nou Barris",48,"la Guineueta","Dona","0 anys",49
2020,8,"Nou Barris",49,"Canyelles","Dona","0 anys",16
2020,8,"Nou Barris",50,"les Roquetes","Dona","0 anys",62
2020,8,"Nou Barris",51,"Verdun","Dona","0 anys",42
2020,8,"Nou Barris",52,"la Prosperitat","Dona","0 anys",103
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","0 anys",31
2020,8,"Nou Barris",54,"Torre Baró","Dona","0 anys",10
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","0 anys",60
2020,8,"Nou Barris",56,"Vallbona","Dona","0 anys",7
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","0 anys",55
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","0 anys",12
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","0 anys",47
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","0 anys",187
2020,9,"Sant Andreu",61,"la Sagrera","Dona","0 anys",108
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","0 anys",58
2020,9,"Sant Andreu",63,"Navas","Dona","0 anys",83
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","0 anys",110
2020,10,"Sant Martí",65,"el Clot","Dona","0 anys",78
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","0 anys",56
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","0 anys",23
2020,10,"Sant Martí",68,"el Poblenou","Dona","0 anys",131
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","0 anys",85
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","0 anys",117
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","0 anys",86
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","0 anys",90
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","0 anys",81
2020,1,"Ciutat Vella",1,"el Raval","Dona","1 any",214
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","1 any",50
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","1 any",37
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","1 any",65
2020,2,"Eixample",5,"el Fort Pienc","Dona","1 any",142
2020,2,"Eixample",6,"la Sagrada Família","Dona","1 any",169
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","1 any",173
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","1 any",154
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","1 any",200
2020,2,"Eixample",10,"Sant Antoni","Dona","1 any",152
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","1 any",147
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","1 any",3
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","1 any",109
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","1 any",32
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","1 any",75
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","1 any",67
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","1 any",106
2020,3,"Sants-Montjuïc",18,"Sants","Dona","1 any",138
2020,4,"Les Corts",19,"les Corts","Dona","1 any",174
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","1 any",89
2020,4,"Les Corts",21,"Pedralbes","Dona","1 any",35
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","1 any",15
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","1 any",120
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","1 any",55
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","1 any",98
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","1 any",188
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","1 any",101
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","1 any",69
2020,6,"Gràcia",29,"el Coll","Dona","1 any",30
2020,6,"Gràcia",30,"la Salut","Dona","1 any",56
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","1 any",230
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","1 any",139
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","1 any",102
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","1 any",37
